Diante do Trono; Canção do Apocalipse.web; 2018; 01
Diante do Trono; Nome Tão Doce.web; 2018; 01
Israel Salazar; Tua Igreja Canta.url; 2018; 01
The Worship Initiative; Formoso És.web; 2018; 01
Gateway Director; Bem mais que tudo.web; 2018; 01
Gabriel Guedes; Noiva.url; 2018; 01
Fred Arrais; Eu Te Louvarei.url; 2018; 01
Bethel Church; Shepherd.url; 2018; 01
Diante do Trono; Eu vou prosseguir.web; 2018; 01
Fernandinho; Pai de multidões.web; 2018; 01
Marine Friesen; Amado Meu.url; 2018; 01
Israel Houghton; Amigo do Senhor.web; 2018; 01
Local Sound; Cantarei Teu Amor pra Sempre.web; 2020; 09
Flop Music; Minhas Guerras.web; 2020; 09
Bethel Music; Revival’s In The Air.web; 2020; 09
Kemuel; Carta de Amor.web; 2020; 09
Lukas Agustinho; Redentor.web; 2020; 09
Paul Baloche; Quão grande es tu.web; 2020; 05
Hillsong Worship; Awake My Soul.web; 2020; 05
Phil Wickham; Great Things.web; 2020; 05
Gabriel Guedes; Minhas Guerras.web; 2020; 05
Gabriella Rocha; Hosana (Original).web; 2020; 05
Nivea Soares; Venceu.web; 2020; 01
William Murphy; Worship Forever.web; 2020; 01
Raquel Kerr; Teus Altares.web; 2020; 01
Amanda Cook; Pieces.web; 2020; 01
Klebson Kollins; Sou Casa.web; 2020; 01
ADAI Music; Aguardo o Dia.web; 2020; 01
Morada; Oh! Se Fendesses.web; 2020; 01
Elevation Worship; Graves Into Gardens ft. Brandon Lake _ Live.web; 2020; 11
Nivia Soares; Caminho no deserto.web; 2020; 11
Casa Worship; Eu te Vejo em Tudo.web; 2020; 11
André Aquino; Poderoso Deus.web; 2020; 11
Israel Salazar; Aviva-nos.web; 2020; 11
Hillsong Worship; Linda Troca.web; 2020; 11
Local Sound; Abra os olhos do meu coração.web; 2020; 10
Eyshila; Nada Pode Calar um Adorador.web; 2020; 10
Alessandro VB; Yeshua.web; 2020; 10
Israel salazar; A Vitoria na cruz.web; 2020; 10
Renascer Praise; Ousado Amor.web; 2020; 10
Eyshila; Tu És bom (Em todo tempo).web; 2020; 08
Jesus Culture-I Know.web; undefined; 2020; 08
Central 3; Eterno.web; 2020; 08
Cristo vivo; Cantor Cristão Castelo forte.web; 2020; 08
Lagoinha Worship; Mais.web; 2020; 08
Christ for the Nations Worship; Worthy of it all.web; 2020; 04
Josh Baldwin; You Deserve It All.web; 2020; 04
Jesus Culture; Love Has A Name.web; 2020; 04
Israel Salazar; To com você.web; 2020; 04
Israel Salazar e Gabriel Guedes; Canção ao Cordeiro.web; 2020; 04
Planetshakers; Fall on me.web; 2020; 04
Elevation Worship; The Blessing.web; 2020; 04
Gabriela Rocha; Vida aos Sepulcros.web; 2020; 12
Morada; Felizes São.web; 2020; 12
Casa Worship; Vento Impetuoso.web; 2020; 12
Preto no branco; Os sonhos de Deus.web; 2020; 12
Maverick City; Refiner.web; 2020; 12
Morada; Es o Exaltado.web; 2020; 06
Morada; Dia e Noite.web; 2020; 06
Bethel Music; Egypt.web; 2020; 06
Morada; Vida Longa ao Rei.web; 2020; 06
Israel Salazar; Pode Chover.web; 2020; 06
Morada; Não há amor igual.web; 2020; 06
Nivea Soares; Grande Dia.web; 2020; 06
Morada; Emaús.web; 2020; 06
People & Songs sala do trono; Throne ROOM.web; 2020; 06
Morada; Meus Votos.web; 2020; 06
Morada; Só Tu És Santo.web; 2020; 06
Morada; Puro e Simples.web; 2020; 06
Morada; Jesus em tua presença.web; 2020; 06
Paulo Cesar Baruk; Novo.web; 2020; 02
Fernandinho; Santo.web; 2020; 02
Gabriela Rocha; A Ele a glória.web; 2020; 02
Nivea Soares; Meu respirar.web; 2020; 02
Tasha Cobs; Gabriel Guedes; 2020; 02
Nivea Soares; Reino de Justiça.web; 2020; 02
Elevation Worship; See a Victory.web; 2020; 02
Diante do Trono; Mulheres Virtuosas.web; 2020; 03
Fernandinho; Eu vou amanhecer.web; 2020; 03
Bethel Music; God Of Revival.web; 2020; 03
Bethel Music; Endless Alleluia.web; 2020; 03
Hillsong Worship; Touch of Heaven.web; 2020; 03
Paul McClure; Caminho no Deserto.web; 2020; 03
Fhop Music; Ruja o Leão.web; 2020; 07
Elevation Worship; Never Lost.web; 2020; 07
Bethel Music; Seja Exaltado.web; 2020; 07
Kemuel; Algo Novo.web; 2020; 07
Elevation Worship; Rattle.web; 2020; 07
Lagoinha; Em Jesus Amigo Temos.web; 2020; 07
Gabriel Guedes; A Benção.web; 2020; 07
Israel & New Breed; It's Not Over.web; 2020; 07
Fernandinho; Ao Primeiro Amor.web; 2020; 07
Fernanda Madaloni; Deixo Ele Vir.web; 2021; 06
Morada; Isaías 6.web; 2021; 06
Aline Barros; Redenção.web; 2021; 06
Gabriela Rocha; Espírito enche a minha vida _ Ao único.web; 2021; 06
Arieta Magrine; Seja Engrandecido.web; 2021; 06
Daniela Gomes; Deus Proverá.web; 2021; 06
William McDowell; Spirit Break Out.web; 2021; 02
Bethel Music; Reign Above It All.web; 2021; 02
Lagoinha One; Tempo de Festa.web; 2021; 02
Aline Barros; Amém.web; 2021; 02
Lagoinha One; Preciso de ti.web; 2021; 02
Nivea Soares; Este e Som da Tua novia + eu so quero te amar.web; 2021; 12
Planetshakers; Free Indeed REVIVAL.web; 2021; 12
Paulo César Baruk; Tu és o nosso Deus.web; 2021; 12
Wesley Santos; Maranata.web; 2021; 12
Nivea Soares; Vem Outra Vez.web; 2021; 12
Gabriel Guedes; Nada Mais.web; 2021; 03
Fernandinho; Quão Bom.web; 2021; 03
André Aquino; Bom Pastor.web; 2021; 03
Elevation Worship; Jireh.web; 2021; 03
kim Walker; Breathing Room.web; 2021; 03
Israel & New Breed; Overflow.web; 2021; 07
Dunamis Music; Vem Derrama _ Faz Chover _ A Terra Clama.web; 2021; 07
Diante do Trono; Renovo.web; 2021; 07
Bethel Music; Promises Never Fail.web; 2021; 07
André Valadão; Quando o mundo cai ao meu redor.web; 2021; 07
Hillsong Worship; Agnus Dei _ King of Kings.web; 2021; 11
Casa Worship; O Seu Amor Me Persegue.web; 2021; 11
Fernanda Ferro; Tú És Digno de Tudo.web; 2021; 11
Gabriela Rocha; Outro na fornalha.web; 2021; 11
Aline Barros; Imensurável.web; 2021; 11
Central 3; Para ti Eu vou.web; 2021; 11
